altitude,temperature,pressure,density
56900.000000,254.130000,31.415162,0.000000
57000.000000,253.850000,31.002661,0.000000
57100.000000,253.570000,30.595154,0.000000
57200.000000,253.290000,30.192587,0.000000
57300.000000,253.010000,29.794904,0.000000
57400.000000,252.730000,29.402051,0.000000
57500.000000,252.450000,29.013973,0.000000
57600.000000,252.170000,28.630619,0.000000
57700.000000,251.890000,28.251935,0.000000
57800.000000,251.610000,27.877870,0.000000
57900.000000,251.330000,27.508370,0.000000
58000.000000,251.050000,27.143387,0.000000
58100.000000,250.770000,26.782868,0.000000
58200.000000,250.490000,26.426764,0.000000
58300.000000,250.210000,26.075025,0.000000
58400.000000,249.930000,25.727602,0.000000
58500.000000,249.650000,25.384448,0.000000
58600.000000,249.370000,25.045512,0.000000
58700.000000,249.090000,24.710750,0.000000
58800.000000,248.810000,24.380112,0.000000
58900.000000,248.530000,24.053553,0.000000
59000.000000,248.250000,23.731026,0.000000
59100.000000,247.970000,23.412486,0.000000
59200.000000,247.690000,23.097888,0.000000
59300.000000,247.410000,22.787186,0.000000
59400.000000,247.130000,22.480338,0.000000
59500.000000,246.850000,22.177298,0.000000
59600.000000,246.570000,21.878024,0.000000
59700.000000,246.290000,21.582473,0.000000
59800.000000,246.010000,21.290603,0.000000
59900.000000,245.730000,21.002371,0.000000
60000.000000,245.450000,20.717735,0.000000
60100.000000,245.170000,20.436656,0.000000
60200.000000,244.890000,20.159091,0.000000
60300.000000,244.610000,19.885002,0.000000
60400.000000,244.330000,19.614347,0.000000
60500.000000,244.050000,19.347088,0.000000
60600.000000,243.770000,19.083185,0.000000
60700.000000,243.490000,18.822600,0.000000
60800.000000,243.210000,18.565295,0.000000
60900.000000,242.930000,18.311232,0.000000
61000.000000,242.650000,18.060373,0.000000
61100.000000,242.370000,17.812682,0.000000
61200.000000,242.090000,17.568122,0.000000
61300.000000,241.810000,17.326656,0.000000
61400.000000,241.530000,17.088249,0.000000
61500.000000,241.250000,16.852865,0.000000
61600.000000,240.970000,16.620469,0.000000
61700.000000,240.690000,16.391027,0.000000
61800.000000,240.410000,16.164504,0.000000
61900.000000,240.130000,15.940866,0.000000
62000.000000,239.850000,15.720079,0.000000
62100.000000,239.570000,15.502110,0.000000
62200.000000,239.290000,15.286926,0.000000
62300.000000,239.010000,15.074495,0.000000
62400.000000,238.730000,14.864785,0.000000
62500.000000,238.450000,14.657762,0.000000
62600.000000,238.170000,14.453397,0.000000
62700.000000,237.890000,14.251657,0.000000
62800.000000,237.610000,14.052512,0.000000
62900.000000,237.330000,13.855931,0.000000
63000.000000,237.050000,13.661884,0.000000
63100.000000,236.770000,13.470341,0.000000
63200.000000,236.490000,13.281273,0.000000
63300.000000,236.210000,13.094650,0.000000
63400.000000,235.930000,12.910443,0.000000
63500.000000,235.650000,12.728624,0.000000
63600.000000,235.370000,12.549164,0.000000
63700.000000,235.090000,12.372035,0.000000
63800.000000,234.810000,12.197210,0.000000
63900.000000,234.530000,12.024661,0.000000
64000.000000,234.250000,11.854361,0.000000
64100.000000,233.970000,11.686283,0.000000
64200.000000,233.690000,11.520400,0.000000
64300.000000,233.410000,11.356687,0.000000
64400.000000,233.130000,11.195118,0.000000
64500.000000,232.850000,11.035666,0.000000
64600.000000,232.570000,10.878306,0.000000
